2021-06-02 11:53:12.815  INFO -ChnData [chnIndex=9, voltage=3774.882069948529, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.882069948529, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:12.815  INFO -last data:ChnData [chnIndex=0, voltage=3774.882069948529, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:12.815  INFO -ChnData [chnIndex=10, voltage=3774.882131596962, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.882131596962, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:12.815  INFO -last data:ChnData [chnIndex=0, voltage=3774.882131596962, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:12.815  INFO -ChnData [chnIndex=11, voltage=3774.8815723257935, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.8815723257935, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:12.815  INFO -last data:ChnData [chnIndex=0, voltage=3774.8815723257935, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:12.815  INFO -ChnData [chnIndex=12, voltage=3774.8817491101145, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.8817491101145, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:12.815  INFO -last data:ChnData [chnIndex=0, voltage=3774.8817491101145, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:12.815  INFO -ChnData [chnIndex=13, voltage=3774.8814850539984, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.8814850539984, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:12.815  INFO -last data:ChnData [chnIndex=0, voltage=3774.8814850539984, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:12.815  INFO -ChnData [chnIndex=14, voltage=3774.8819769587676, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.8819769587676, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:12.815  INFO -last data:ChnData [chnIndex=0, voltage=3774.8819769587676, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:12.815  INFO -ChnData [chnIndex=15, voltage=3774.882428086774, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.882428086774, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:12.815  INFO -last data:ChnData [chnIndex=0, voltage=3774.882428086774, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.055  INFO -ChnData [chnIndex=0, voltage=3774.8820746728097, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.8820746728097, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.055  INFO -last data:ChnData [chnIndex=0, voltage=3774.8820746728097, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.055  INFO -ChnData [chnIndex=1, voltage=3774.8807574598723, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.8807574598723, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.055  INFO -last data:ChnData [chnIndex=0, voltage=3774.8807574598723, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.055  INFO -ChnData [chnIndex=2, voltage=3774.881302195522, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.881302195522, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.055  INFO -last data:ChnData [chnIndex=0, voltage=3774.881302195522, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.055  INFO -ChnData [chnIndex=3, voltage=3774.8810993124093, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.8810993124093, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.055  INFO -last data:ChnData [chnIndex=0, voltage=3774.8810993124093, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.055  INFO -ChnData [chnIndex=4, voltage=3774.882177611142, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.882177611142, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.055  INFO -last data:ChnData [chnIndex=0, voltage=3774.882177611142, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
